iter	Passed	Remaining
164	14545	2365578
165	14629	2364802
166	14716	2364558
167	14802	2364245
168	14888	2363788
169	14973	2363107
170	15055	2362163
171	15136	2360890
172	15216	2359636
173	15297	2358425
174	15381	2357715
175	15464	2356959
176	15545	2355853
177	15624	2354416
178	15712	2354348
179	15799	2354165
180	15884	2353625
181	15968	2353049
182	16049	2351895
183	16134	2351398
184	16217	2350677
185	16300	2349908
186	16385	2349404
187	16471	2349074
188	16552	2348095
189	16636	2347559
190	16720	2346912
191	16804	2346388
192	16887	2345644
193	16969	2344781
194	17053	2344188
195	17137	2343612
196	17219	2342874
197	17301	2342026
198	17382	2340993
199	17465	2340420
200	17551	2340138
201	17638	2339964
202	17721	2339343
203	17804	2338700
204	17886	2337954
205	17972	2337700
206	18055	2336987
207	18137	2336257
208	18223	2336060
209	18305	2335214
210	18384	2334101
211	18467	2333538
212	18549	2332743
213	18628	2331747
214	18716	2331672
215	18796	2330736
216	18880	2330300
217	18962	2329597
218	19046	2329154
219	19128	2328411
220	19211	2327922
221	19293	2327170
222	19375	2326575
223	19459	2326106
224	19540	2325260
225	19622	2324682
226	19705	2324075
227	19785	2323200
228	19875	2323492
229	19962	2323511
230	20048	2323293
231	20128	2322466
232	20210	2321821
233	20295	2321521
234	20384	2321671
235	20473	2321842
236	20556	2321379
237	20640	2320960
238	20728	2321003
239	20815	2320893
240	20904	2321138
241	20989	2320801
242	21073	2320437
243	21165	2320945
244	21251	2320765
245	21336	2320476
246	21419	2319935
247	21507	2320047
248	21594	2319951
249	21676	2319438
250	21760	2318961
251	21839	2318081
252	21919	2317272
253	22003	2316914
254	22082	2316041
255	22164	2315479
256	22248	2315114
257	22332	2314757
258	22414	2314194
259	22499	2313990
260	22590	2314378
261	22677	2314299
262	22764	2314325
263	22849	2314002
264	22931	2313453
265	23015	2313096
266	23095	2312396
267	23181	2312313
268	23271	2312519
269	23357	2312373
270	23443	2312291
271	23527	2311952
272	23611	2311599
273	23694	2311123
274	23777	2310755
275	23859	2310196
276	23938	2309465
277	24019	2308819
278	24098	2308044
279	24179	2307428
280	24259	2306768
281	24342	2306319
282	24425	2305949
283	24510	2305725
284	24592	2305190
285	24674	2304691
286	24758	2304464
287	24843	2304260
288	24925	2303733
289	25009	2303428
290	25089	2302835
291	25172	2302416
292	25255	2302083
293	25337	2301561
294	25423	2301492
295	25506	2301055
296	25593	2301068
297	25684	2301412
298	25772	2301518
299	25868	2302319
300	25956	2302324
301	26043	2302345
302	26128	2302143
303	26213	2301960
304	26298	2301798
305	26379	2301222
306	26459	2300617
307	26541	2300140
308	26622	2299614
309	26702	2298983
310	26781	2298315
311	26866	2298121
312	26950	2297880
313	27035	2297657
314	27116	2297179
315	27198	2296691
316	27277	2296083
317	27358	2295544
318	27438	2294964
319	27521	2294644
320	27603	2294223
321	27686	2293883
322	27769	2293511
323	27851	2293079
324	27932	2292616
325	28037	2294114
326	28206	2300792
327	28303	2301591
328	28401	2302389
329	28485	2302166
330	28567	2301711
331	28648	2301212
332	28727	2300549
333	28807	2299938
334	28886	2299257
335	28971	2299065
336	29051	2298555
337	29131	2297947
338	29215	2297649
339	29296	2297203
340	29382	2297090
341	29464	2296682
342	29546	2296289
343	29627	2295758
344	29706	2295117
345	29788	2294760
346	29874	2294640
347	29955	2294179
348	30038	2293857
349	30118	2293335
350	30202	2293037
351	30283	2292576
352	30366	2292320
353	30450	2292057
354	30536	2291935
