iter	Passed	Remaining
192	11159	1550071
193	11211	1549200
194	11263	1548257
195	11314	1547355
196	11370	1547039
197	11422	1546143
198	11473	1545239
199	11527	1544647
200	11580	1543962
201	11639	1544152
202	11695	1543890
203	11753	1543800
204	11809	1543572
205	11863	1543045
206	11919	1542851
207	11974	1542422
208	12029	1541987
209	12085	1541737
210	12141	1541499
211	12198	1541433
212	12253	1540968
213	12308	1540682
214	12362	1540153
215	12416	1539651
216	12470	1539138
217	12523	1538566
218	12579	1538280
219	12631	1537595
220	12685	1537110
221	12739	1536680
222	12795	1536472
223	12851	1536194
224	12906	1535834
225	12960	1535371
226	13013	1534811
227	13066	1534316
228	13120	1533784
229	13173	1533296
230	13228	1533002
231	13281	1532409
232	13332	1531681
233	13384	1530984
234	13438	1530532
235	13490	1529960
236	13542	1529286
237	13597	1528934
238	13650	1528456
239	13706	1528308
240	13759	1527815
241	13811	1527168
242	13863	1526527
243	13921	1526593
244	13977	1526356
245	14030	1525862
246	14083	1525410
247	14139	1525251
248	14194	1524960
249	14248	1524564
250	14301	1524100
251	14358	1524036
252	14413	1523752
253	14467	1523400
254	14522	1523128
255	14577	1522898
256	14630	1522474
257	14683	1521925
258	14738	1521662
259	14794	1521557
260	14847	1521135
261	14902	1520892
262	14954	1520330
263	15009	1520025
264	15064	1519817
265	15117	1519412
266	15171	1518994
267	15224	1518588
268	15275	1517992
269	15327	1517391
270	15379	1516923
271	15433	1516554
272	15485	1516061
273	15536	1515394
274	15589	1514968
275	15643	1514683
276	15697	1514383
277	15752	1514180
278	15807	1513938
279	15863	1513802
280	15917	1513523
281	15971	1513235
282	16026	1512984
283	16081	1512799
284	16136	1512619
285	16191	1512390
286	16247	1512261
287	16303	1512111
288	16356	1511728
289	16411	1511530
290	16466	1511372
291	16526	1511640
292	16582	1511462
293	16633	1510972
294	16687	1510631
295	16743	1510519
296	16798	1510378
297	16852	1510049
298	16904	1509551
299	16958	1509265
300	17012	1509017
301	17066	1508727
302	17119	1508387
303	17175	1508242
304	17227	1507820
305	17279	1507410
306	17330	1506845
307	17384	1506597
308	17436	1506149
309	17488	1505736
310	17540	1505275
311	17597	1505247
312	17653	1505134
313	17709	1505060
314	17763	1504824
315	17818	1504653
316	17872	1504351
317	17925	1504019
318	17979	1503766
319	18032	1503434
320	18089	1503424
321	18141	1503012
322	18193	1502665
323	18247	1502367
324	18299	1501995
325	18356	1501955
326	18409	1501668
327	18465	1501568
328	18520	1501372
329	18575	1501262
330	18632	1501232
331	18685	1500929
332	18740	1500779
333	18795	1500564
334	18849	1500385
335	18902	1500064
336	18955	1499770
337	19010	1499570
338	19066	1499484
339	19118	1499135
340	19170	1498760
341	19222	1498372
342	19277	1498177
343	19329	1497837
344	19381	1497457
345	19433	1497064
346	19488	1496880
347	19540	1496549
348	19594	1496317
349	19648	1496055
350	19702	1495878
351	19756	1495691
352	19810	1495435
353	19864	1495203
354	19918	1495033
