Date,Year,Month,CD_UF,Pop0_19_UF,state_index,pred.mean,pred.uci,pred.lci
2006-12-01,2006,12,11,580275,11,8.444272112360519,9.288699323596571,7.5998449011244675
2007-01-01,2007,1,11,580275,11,12.235577958726466,13.459135754599114,11.012020162853819
2007-02-01,2007,2,11,580275,11,15.509887553315238,17.060876308646765,13.958898797983714
2007-03-01,2007,3,11,580275,11,13.614234630132264,14.975658093145492,12.25281116711904
2007-04-01,2007,4,11,580275,11,8.099607944509069,8.909568738959976,7.289647150058162
2007-05-01,2007,5,11,580275,11,5.169962517771746,5.68695876954892,4.652966265994571
2007-06-01,2007,6,11,580275,11,2.412649174960148,2.6539140924561635,2.1713842574641333
2007-07-01,2007,7,11,580275,11,3.2743095945887726,3.6017405540476504,2.9468786351298957
2007-08-01,2007,8,11,580275,11,1.378656671405799,1.5165223385463789,1.240791004265219
2007-09-01,2007,9,11,580275,11,3.618973762440222,3.980871138684245,3.257076386196201
2007-10-01,2007,10,11,580275,11,10.167592951617767,11.184352246779545,9.15083365645599
2007-11-01,2007,11,11,580275,11,19.645857567532637,21.6104433242859,17.68127181077937
2007-12-01,2007,12,11,580275,11,43.772349317134115,48.14958424884753,39.395114385420705
2008-01-01,2008,1,11,580275,11,52.73361768127181,58.00697944939899,47.460255913144636
2008-02-01,2008,2,11,580275,11,40.153375554693895,44.16871311016329,36.13803799922451
2008-03-01,2008,3,11,580275,11,62.3842143811124,68.62263581922366,56.14579294300117
2008-04-01,2008,4,11,580275,11,52.044289345568906,57.24871828012581,46.839860411012026
2008-05-01,2008,5,11,580275,11,11.890913790875016,13.080005169962519,10.701822411787514
2008-06-01,2008,6,11,580275,11,3.791305846365947,4.170436431002543,3.412175261729353
2008-07-01,2008,7,11,580275,11,0.5169962517771746,0.5686958769548921,0.4652966265994572
2008-08-01,2008,8,11,580275,11,1.0339925035543491,1.1373917539097842,0.9305932531989144
2008-09-01,2008,9,11,580275,11,1.550988755331524,1.7060876308646764,1.3958898797983714
2008-10-01,2008,10,11,580275,11,1.550988755331524,1.7060876308646764,1.3958898797983714
2008-11-01,2008,11,11,580275,11,7.06561544095472,7.772176985050192,6.359053896859248
2008-12-01,2008,12,11,580275,11,17.922536728275386,19.714790401102924,16.130283055447848
2009-01-01,2009,1,11,580275,11,42.04902847787687,46.25393132566456,37.84412563008918
2009-02-01,2009,2,11,580275,11,59.6269010383008,65.58959114213089,53.664210934470724
2009-03-01,2009,3,11,580275,11,108.74154495713239,119.61569945284565,97.86739046141915
2009-04-01,2009,4,11,580275,11,44.63400973676274,49.097410710439014,40.17060876308647
2009-05-01,2009,5,11,580275,11,33.777088449442076,37.154797294386285,30.39937960449787
2009-06-01,2009,6,11,580275,11,18.267200896126838,20.093920985739523,16.440480806514152
2009-07-01,2009,7,11,580275,11,13.78656671405799,15.165223385463788,12.407910042652192
2009-08-01,2009,8,11,580275,11,15.509887553315238,17.060876308646765,13.958898797983714
2009-09-01,2009,9,11,580275,11,15.85455172116669,17.440006893283357,14.269096549050019
2009-10-01,2009,10,11,580275,11,59.45456895437508,65.4000258498126,53.509112058937575
2009-11-01,2009,11,11,580275,11,222.4807203481108,244.7287923829219,200.23264831329976
2009-12-01,2009,12,11,580275,11,305.027788548533,335.5305674033864,274.5250096936797
2010-01-01,2010,1,11,580275,11,508.7243117487398,559.5967429236139,457.8518805738659
2010-02-01,2010,2,11,580275,11,301.58114687001853,331.7392615570204,271.4230321830167
2010-03-01,2010,3,11,580275,11,96.50596699840594,106.15656369824653,86.85537029856535
2010-04-01,2010,4,11,580275,11,48.942311834905865,53.836543018396455,44.048080651415276
2010-05-01,2010,5,11,580275,11,20.679850071086985,22.74783507819568,18.611865063978286
2010-06-01,2010,6,11,580275,11,12.75257421050364,14.027831631554006,11.477316789453278
2010-07-01,2010,7,11,580275,11,5.342294601697471,5.876524061867218,4.808065141527725
2010-08-01,2010,8,11,580275,11,3.101977510663048,3.412175261729353,2.791779759596743
2010-09-01,2010,9,11,580275,11,3.791305846365947,4.170436431002543,3.412175261729353
2010-10-01,2010,10,11,580275,11,10.339925035543493,11.37391753909784,9.305932531989143
2010-11-01,2010,11,11,580275,11,44.63400973676274,49.097410710439014,40.17060876308647
2010-12-01,2010,12,11,580275,11,80.13441902546207,88.14786092800828,72.12097712291586
2011-01-01,2011,1,11,580275,11,40.32570763861962,44.35827840248159,36.29313687475766
2011-02-01,2011,2,11,580275,11,28.607125931670332,31.467838524837365,25.746413338503295
2011-03-01,2011,3,11,580275,11,44.97867390461419,49.47654129507561,40.480806514152775
2011-04-01,2011,4,11,580275,11,30.84744302270475,33.93218732497523,27.762698720434273
2011-05-01,2011,5,11,580275,11,10.684589203394943,11.753048123734436,9.61613028305545
2011-06-01,2011,6,11,580275,11,2.584981258885873,2.84347938477446,2.3264831329972857
2011-07-01,2011,7,11,580275,11,1.206324587480074,1.3269570462280817,1.0856921287320667
2011-08-01,2011,8,11,580275,11,4.1359700142173965,4.549567015639137,3.7223730127956576
2011-09-01,2011,9,11,580275,11,3.9636379302916724,4.360001723320839,3.5672741372625048
2011-10-01,2011,10,11,580275,11,4.1359700142173965,4.549567015639137,3.7223730127956576
2011-11-01,2011,11,11,580275,11,2.0679850071086983,2.2747835078195684,1.8611865063978288
2011-12-01,2011,12,11,580275,11,3.791305846365947,4.170436431002543,3.412175261729353
2012-01-01,2012,1,11,580275,11,17.40554047649821,19.146094524148033,15.66498642884839
2012-02-01,2012,2,11,580275,11,18.267200896126838,20.093920985739523,16.440480806514152
2012-03-01,2012,3,11,580275,11,21.886174658567057,24.074792124423766,19.697557192710352
2012-04-01,2012,4,11,580275,11,14.475895049760888,15.92348455473698,13.028305544784804
2012-05-01,2012,5,11,580275,11,18.094868812201113,19.904355693421223,16.285381930981
2012-06-01,2012,6,11,580275,11,16.026883805092414,17.629572185601656,14.424195424583171
2012-07-01,2012,7,11,580275,11,11.201585455172117,12.321744000689328,10.081426909654905
2012-08-01,2012,8,11,580275,11,12.407910042652192,13.648701046917411,11.167119038386971
2012-09-01,2012,9,11,580275,11,4.4806341820688464,4.928697600275731,4.032570763861962
2012-10-01,2012,10,11,580275,11,7.41027960880617,8.151307569686788,6.669251647925552
2012-11-01,2012,11,11,580275,11,12.407910042652192,13.648701046917411,11.167119038386971
2012-12-01,2012,12,11,580275,11,21.024514238938433,23.12696566283228,18.92206281504459
2013-01-01,2013,1,11,580275,11,90.99134031278273,100.09047434406102,81.89220628150446
2013-02-01,2013,2,11,580275,11,109.25854120890958,120.18439532980054,98.33268708801862
2013-03-01,2013,3,11,580275,11,87.71703071819397,96.48873379001337,78.94532764637457
2013-04-01,2013,4,11,580275,11,31.364439274481928,34.50088320193012,28.227995347033737
2013-05-01,2013,5,11,580275,11,17.060876308646762,18.766963939511438,15.354788677782087
2013-06-01,2013,6,11,580275,11,7.754943776657619,8.530438154323383,6.979449398991857
2013-07-01,2013,7,11,580275,11,4.997630433846021,5.497393477230624,4.49786739046142
2013-08-01,2013,8,11,580275,11,1.8956529231829735,2.0852182155012713,1.7060876308646764
2013-09-01,2013,9,11,580275,11,5.514626685623196,6.066089354185515,4.963164017060876
2013-10-01,2013,10,11,580275,11,8.444272112360519,9.288699323596571,7.5998449011244675
2013-11-01,2013,11,11,580275,11,24.298823833527205,26.72870621687993,21.86894145017449
2013-12-01,2013,12,11,580275,11,18.094868812201113,19.904355693421223,16.285381930981
2014-01-01,2014,1,11,580275,11,7.754943776657619,8.530438154323383,6.979449398991857
2014-02-01,2014,2,11,580275,11,12.407910042652192,13.648701046917411,11.167119038386971
2014-03-01,2014,3,11,580275,11,11.546249623023566,12.700874585325924,10.391624660721211
2014-04-01,2014,4,11,580275,11,10.167592951617767,11.184352246779545,9.15083365645599
2014-05-01,2014,5,11,580275,11,11.201585455172117,12.321744000689328,10.081426909654905
2014-06-01,2014,6,11,580275,11,8.616604196286245,9.478264615914869,7.754943776657619
2014-07-01,2014,7,11,580275,11,4.308302098143122,4.739132307957434,3.8774718883288095
2014-08-01,2014,8,11,580275,11,3.4466416785144975,3.791305846365947,3.101977510663048
2014-09-01,2014,9,11,580275,11,2.757313342811598,3.0330446770927577,2.481582008530438
2014-10-01,2014,10,11,580275,11,7.06561544095472,7.772176985050192,6.359053896859248
2014-11-01,2014,11,11,580275,11,17.23320839257249,18.956529231829737,15.509887553315238
2014-12-01,2014,12,11,580275,11,12.75257421050364,14.027831631554006,11.477316789453278
2015-01-01,2015,1,11,580275,11,7.927275860583345,8.720003446641678,7.1345482745250095
2015-02-01,2015,2,11,580275,11,8.444272112360519,9.288699323596571,7.5998449011244675
2015-03-01,2015,3,11,580275,11,12.063245874800742,13.269570462280816,10.856921287320668
2015-04-01,2015,4,11,580275,11,13.441902546206538,14.786092800827197,12.097712291585886
2015-05-01,2015,5,11,580275,11,9.650596699840593,10.615656369824654,8.685537029856533
2015-06-01,2015,6,11,580275,11,4.652966265994571,5.1182628925940294,4.187669639395114
2015-07-01,2015,7,11,580275,11,3.618973762440222,3.980871138684245,3.257076386196201
2015-08-01,2015,8,11,580275,11,2.584981258885873,2.84347938477446,2.3264831329972857
2015-09-01,2015,9,11,580275,11,3.9636379302916724,4.360001723320839,3.5672741372625048
2015-10-01,2015,10,11,580275,11,8.099607944509069,8.909568738959976,7.289647150058162
2015-11-01,2015,11,11,580275,11,9.995260867692043,10.994786954461247,8.99573478092284
2015-12-01,2015,12,11,580275,11,25.849812588858732,28.434793847744604,23.264831329972857
2016-01-01,2016,1,11,580275,11,93.40398948774288,102.74438843651718,84.0635905389686
2016-02-01,2016,2,11,580275,11,109.4308732928353,120.37396062211882,98.48778596355176
2016-03-01,2016,3,11,580275,11,78.23876610227909,86.06264271250701,70.41488949205119
2016-04-01,2016,4,11,580275,11,36.36206970832795,39.998276679160746,32.725862737495156
2016-05-01,2016,5,11,580275,11,13.614234630132264,14.975658093145492,12.25281116711904
2016-06-01,2016,6,11,580275,11,6.37628710525182,7.013915815777003,5.738658394726639
2016-07-01,2016,7,11,580275,11,4.997630433846021,5.497393477230624,4.49786739046142
2016-08-01,2016,8,11,580275,11,2.584981258885873,2.84347938477446,2.3264831329972857
2016-09-01,2016,9,11,580275,11,4.652966265994571,5.1182628925940294,4.187669639395114
2016-10-01,2016,10,11,580275,11,4.1359700142173965,4.549567015639137,3.7223730127956576
2016-11-01,2016,11,11,580275,11,14.303562965835166,15.733919262418683,12.873206669251648
2016-12-01,2016,12,11,580275,11,28.779458015596056,31.65740381715566,25.90151221403645
2017-01-01,2017,1,11,580275,11,26.883805092413077,29.572185601654393,24.19542458317177
2017-02-01,2017,2,11,580275,11,31.536771358407652,34.69044849424842,28.38309422256689
2017-03-01,2017,3,11,580275,11,17.577872560423938,19.33565981646633,15.820085304381543
2017-04-01,2017,4,11,580275,11,6.720951273103269,7.393046400413598,6.048856145792943
2017-05-01,2017,5,11,580275,11,5.514626685623196,6.066089354185515,4.963164017060876
2017-06-01,2017,6,11,580275,11,4.652966265994571,5.1182628925940294,4.187669639395114
2017-07-01,2017,7,11,580275,11,2.0679850071086983,2.2747835078195684,1.8611865063978288
2017-08-01,2017,8,11,580275,11,2.412649174960148,2.6539140924561635,2.1713842574641333
2017-09-01,2017,9,11,580275,11,2.584981258885873,2.84347938477446,2.3264831329972857
2017-10-01,2017,10,11,580275,11,2.412649174960148,2.6539140924561635,2.1713842574641333
2017-11-01,2017,11,11,580275,11,4.308302098143122,4.739132307957434,3.8774718883288095
2017-12-01,2017,12,11,580275,11,8.099607944509069,8.909568738959976,7.289647150058162
2018-01-01,2018,1,11,580275,11,5.514626685623196,6.066089354185515,4.963164017060876
2018-02-01,2018,2,11,580275,11,3.9636379302916724,4.360001723320839,3.5672741372625048
2018-03-01,2018,3,11,580275,11,1.550988755331524,1.7060876308646764,1.3958898797983714
2018-04-01,2018,4,11,580275,11,3.2743095945887726,3.6017405540476504,2.9468786351298957
2018-05-01,2018,5,11,580275,11,2.0679850071086983,2.2747835078195684,1.8611865063978288
2018-06-01,2018,6,11,580275,11,2.0679850071086983,2.2747835078195684,1.8611865063978288
2018-07-01,2018,7,11,580275,11,1.8956529231829735,2.0852182155012713,1.7060876308646764
2018-08-01,2018,8,11,580275,11,1.8956529231829735,2.0852182155012713,1.7060876308646764
2018-09-01,2018,9,11,580275,11,1.378656671405799,1.5165223385463789,1.240791004265219
2018-10-01,2018,10,11,580275,11,3.4466416785144975,3.791305846365947,3.101977510663048
2018-11-01,2018,11,11,580275,11,2.9296454267373226,3.2226099694110557,2.6366808840635905
2018-12-01,2018,12,11,580275,11,1.8956529231829735,2.0852182155012713,1.7060876308646764
2019-01-01,2019,1,11,580275,11,1.206324587480074,1.3269570462280817,1.0856921287320667
2019-02-01,2019,2,11,580275,11,2.412649174960148,2.6539140924561635,2.1713842574641333
2019-03-01,2019,3,11,580275,11,3.2743095945887726,3.6017405540476504,2.9468786351298957
2019-04-01,2019,4,11,580275,11,5.514626685623196,6.066089354185515,4.963164017060876
2019-05-01,2019,5,11,580275,11,3.791305846365947,4.170436431002543,3.412175261729353
2019-06-01,2019,6,11,580275,11,4.4806341820688464,4.928697600275731,4.032570763861962
2019-07-01,2019,7,11,580275,11,6.37628710525182,7.013915815777003,5.738658394726639
2019-08-01,2019,8,11,580275,11,3.4466416785144975,3.791305846365947,3.101977510663048
2019-09-01,2019,9,11,580275,11,1.550988755331524,1.7060876308646764,1.3958898797983714
2019-10-01,2019,10,11,580275,11,2.584981258885873,2.84347938477446,2.3264831329972857
2019-11-01,2019,11,11,580275,11,5.514626685623196,6.066089354185515,4.963164017060876
2019-12-01,2019,12,11,580275,11,9.478264615914867,10.426091077506356,8.530438154323381
2001-01-01,2001,1,12,324213,12,97.15834960350139,106.87418456385154,87.44251464315126
2001-02-01,2001,2,12,324213,12,22.516061971605087,24.7676681687656,20.26445577444458
2001-03-01,2001,3,12,324213,12,16.964156279976436,18.66057190797408,15.267740651978793
2001-04-01,2001,4,12,324213,12,7.710980127262016,8.482078139988218,6.9398821145358145
2001-05-01,2001,5,12,324213,12,4.009709666176248,4.4106806327938735,3.608738699558624
2001-06-01,2001,6,12,324213,12,2.1590744356333644,2.3749818791967012,1.943166992070028
2001-07-01,2001,7,12,324213,12,0.9253176152714419,1.0178493767985863,0.8327858537442978
2001-08-01,2001,8,12,324213,12,0.6168784101809612,0.6785662511990574,0.5551905691628651
2001-09-01,2001,9,12,324213,12,0.9253176152714419,1.0178493767985863,0.8327858537442978
2001-10-01,2001,10,12,324213,12,2.1590744356333644,2.3749818791967012,1.943166992070028
2001-11-01,2001,11,12,324213,12,16.038838664704993,17.642722531175494,14.434954798234497
2001-12-01,2001,12,12,324213,12,13.879764229071629,15.267740651978793,12.491787806164465
2002-01-01,2002,1,12,324213,12,7.094101717081054,7.803511888789161,6.384691545372949
2002-02-01,2002,2,12,324213,12,19.1232307156098,21.03555378717078,17.21090764404882
2002-03-01,2002,3,12,324213,12,34.54519097013383,37.99971006714722,31.09067187312045
2002-04-01,2002,4,12,324213,12,8.327858537442976,9.160644391187276,7.49507268369868
2002-05-01,2002,5,12,324213,12,5.860344896719132,6.446379386391047,5.27431040704722
2002-06-01,2002,6,12,324213,12,3.0843920509048064,3.3928312559952873,2.775952845814326
2002-07-01,2002,7,12,324213,12,1.5421960254524032,1.6964156279976437,1.387976422907163
2002-08-01,2002,8,12,324213,12,0.3084392050904806,0.3392831255995287,0.27759528458143257
2002-09-01,2002,9,12,324213,12,1.5421960254524032,1.6964156279976437,1.387976422907163
2002-10-01,2002,10,12,324213,12,0.6168784101809612,0.6785662511990574,0.5551905691628651
2002-11-01,2002,11,12,324213,12,8.327858537442976,9.160644391187276,7.49507268369868
2002-12-01,2002,12,12,324213,12,12.337568203619226,13.57132502398115,11.103811383257304
2003-01-01,2003,1,12,324213,12,18.197913100338358,20.017704410372197,16.378121790304522
2003-02-01,2003,2,12,324213,12,21.282305151243165,23.410535666367483,19.15407463611885
2003-03-01,2003,3,12,324213,12,12.029128998528746,13.23204189838162,10.826216098675872
2003-04-01,2003,4,12,324213,12,8.019419332352497,8.821361265587747,7.217477399117248
2003-05-01,2003,5,12,324213,12,4.318148871266729,4.7499637583934025,3.886333984140056
2003-06-01,2003,6,12,324213,12,2.467513640723845,2.71426500479623,2.2207622766514605
2003-07-01,2003,7,12,324213,12,0.6168784101809612,0.6785662511990574,0.5551905691628651
2003-08-01,2003,8,12,324213,12,0.3084392050904806,0.3392831255995287,0.27759528458143257
2003-09-01,2003,9,12,324213,12,0.6168784101809612,0.6785662511990574,0.5551905691628651
2003-10-01,2003,10,12,324213,12,2.467513640723845,2.71426500479623,2.2207622766514605
2003-11-01,2003,11,12,324213,12,2.467513640723845,2.71426500479623,2.2207622766514605
2003-12-01,2003,12,12,324213,12,3.0843920509048064,3.3928312559952873,2.775952845814326
2004-01-01,2004,1,12,324213,12,7.402540922171535,8.14279501438869,6.6622868299543825
2004-02-01,2004,2,12,324213,12,14.49664263925259,15.946306903177849,13.046978375327333
2004-03-01,2004,3,12,324213,12,4.318148871266729,4.7499637583934025,3.886333984140056
2004-04-01,2004,4,12,324213,12,1.8506352305428837,2.0356987535971727,1.6655717074885956
2004-05-01,2004,5,12,324213,12,3.7012704610857674,4.071397507194345,3.3311434149771912
2004-06-01,2004,6,12,324213,12,3.3928312559952873,3.7321143815948163,3.0535481303957583
2004-07-01,2004,7,12,324213,12,3.3928312559952873,3.7321143815948163,3.0535481303957583
2004-08-01,2004,8,12,324213,12,1.8506352305428837,2.0356987535971727,1.6655717074885956
2004-09-01,2004,9,12,324213,12,8.636297742533458,9.499927516786805,7.772667968280112
2004-10-01,2004,10,12,324213,12,32.07767732940999,35.28544506235099,28.869909596468993
2004-11-01,2004,11,12,324213,12,159.4630690317785,175.40937593495636,143.51676212860065
2004-12-01,2004,12,12,324213,12,103.94401211549199,114.3384133270412,93.54961090394278
2005-01-01,2005,1,12,324213,12,101.47649847476812,111.62414832224495,91.32884862729132
2005-02-01,2005,2,12,324213,12,35.47050858540528,39.01755944394581,31.92345772686475
2005-03-01,2005,3,12,324213,12,12.337568203619226,13.57132502398115,11.103811383257304
2005-04-01,2005,4,12,324213,12,4.93502728144769,5.42853000959246,4.441524553302921
2005-05-01,2005,5,12,324213,12,1.2337568203619225,1.357132502398115,1.1103811383257303
2005-06-01,2005,6,12,324213,12,0.3084392050904806,0.3392831255995287,0.27759528458143257
2005-07-01,2005,7,12,324213,12,0.3084392050904806,0.3392831255995287,0.27759528458143257
2005-08-01,2005,8,12,324213,12,0.6168784101809612,0.6785662511990574,0.5551905691628651
2005-09-01,2005,9,12,324213,12,0.0,0.0,0.0
2005-10-01,2005,10,12,324213,12,0.9253176152714419,1.0178493767985863,0.8327858537442978
2005-11-01,2005,11,12,324213,12,1.5421960254524032,1.6964156279976437,1.387976422907163
2005-12-01,2005,12,12,324213,12,13.879764229071629,15.267740651978793,12.491787806164465
2006-01-01,2006,1,12,324213,12,5.243466486538171,5.767813135191989,4.719119837884354
2006-02-01,2006,2,12,324213,12,4.009709666176248,4.4106806327938735,3.608738699558624
2006-03-01,2006,3,12,324213,12,4.009709666176248,4.4106806327938735,3.608738699558624
2006-04-01,2006,4,12,324213,12,1.8506352305428837,2.0356987535971727,1.6655717074885956
2006-05-01,2006,5,12,324213,12,0.9253176152714419,1.0178493767985863,0.8327858537442978
2006-06-01,2006,6,12,324213,12,0.6168784101809612,0.6785662511990574,0.5551905691628651
2006-07-01,2006,7,12,324213,12,0.3084392050904806,0.3392831255995287,0.27759528458143257
2006-08-01,2006,8,12,324213,12,0.3084392050904806,0.3392831255995287,0.27759528458143257
2006-09-01,2006,9,12,324213,12,0.9253176152714419,1.0178493767985863,0.8327858537442978
2006-10-01,2006,10,12,324213,12,0.0,0.0,0.0
2006-11-01,2006,11,12,324213,12,3.3928312559952873,3.7321143815948163,3.0535481303957583
2006-12-01,2006,12,12,324213,12,3.3928312559952873,3.7321143815948163,3.0535481303957583
2007-01-01,2007,1,12,324213,12,4.626588076357209,5.089246883992931,4.163929268721488
2007-02-01,2007,2,12,324213,12,8.019419332352497,8.821361265587747,7.217477399117248
2007-03-01,2007,3,12,324213,12,10.178493767985861,11.19634314478445,9.160644391187274
2007-04-01,2007,4,12,324213,12,6.477223306900093,7.124945637590103,5.829500976210085
2007-05-01,2007,5,12,324213,12,2.775952845814326,3.0535481303957583,2.498357561232893
2007-06-01,2007,6,12,324213,12,0.6168784101809612,0.6785662511990574,0.5551905691628651
2007-07-01,2007,7,12,324213,12,0.0,0.0,0.0
2007-08-01,2007,8,12,324213,12,0.0,0.0,0.0
2007-09-01,2007,9,12,324213,12,0.3084392050904806,0.3392831255995287,0.27759528458143257
2007-10-01,2007,10,12,324213,12,1.2337568203619225,1.357132502398115,1.1103811383257303
2007-11-01,2007,11,12,324213,12,5.860344896719132,6.446379386391047,5.27431040704722
2007-12-01,2007,12,12,324213,12,6.168784101809613,6.785662511990575,5.551905691628652
2008-01-01,2008,1,12,324213,12,7.710980127262016,8.482078139988218,6.9398821145358145
2008-02-01,2008,2,12,324213,12,14.80508184434307,16.28559002877738,13.324573659908765
2008-03-01,2008,3,12,324213,12,19.1232307156098,21.03555378717078,17.21090764404882
2008-04-01,2008,4,12,324213,12,20.665426741062205,22.731969415168425,18.598884066955986
