Date,Year,Month,CD_UF,PopTotal_UF,state_index,pred.mean,pred.uci,pred.lci
2014-01-01,2014,1,15,7581051,15,7.624272676704061,8.386699944374469,6.861845409033656
2014-02-01,2014,2,15,7581051,15,8.323384185121562,9.155722603633718,7.491045766609405
2014-03-01,2014,3,15,7581051,15,9.668844069245807,10.635728476170389,8.701959662321228
2014-04-01,2014,4,15,7581051,15,7.53193719446024,8.285130913906265,6.778743475014216
2014-05-01,2014,5,15,7581051,15,6.542628456133588,7.196891301746947,5.88836561052023
2014-06-01,2014,6,15,7581051,15,3.152597179467596,3.4678568974143564,2.8373374615208364
2014-07-01,2014,7,15,7581051,15,2.334768622450898,2.5682454846959875,2.101291760205808
2014-08-01,2014,8,15,7581051,15,2.3743409719839637,2.6117750691823605,2.1369068747855673
2014-09-01,2014,9,15,7581051,15,2.743682900959247,3.018051191055172,2.4693146108633224
2014-10-01,2014,10,15,7581051,15,3.9836165196619833,4.381978171628182,3.5852548676957854
2014-11-01,2014,11,15,7581051,15,3.020689347690709,3.3227582824597808,2.7186204129216383
2014-12-01,2014,12,15,7581051,15,3.165787962645285,3.4823667589098135,2.8492091663807564
2015-01-01,2015,1,15,7581051,15,4.801445076678682,5.28158958434655,4.321300569010814
2015-02-01,2015,2,15,7581051,15,8.600390631853024,9.460429695038327,7.740351568667723
2015-03-01,2015,3,15,7581051,15,16.541242104821613,18.195366315303776,14.887117894339454
2015-04-01,2015,4,15,7581051,15,13.810749987040055,15.191824985744061,12.429674988336052
2015-05-01,2015,5,15,7581051,15,12.214665222539724,13.4361317447937,10.99319870028575
2015-06-01,2015,6,15,7581051,15,7.545127977637929,8.299640775401723,6.790615179874137
2015-07-01,2015,7,15,7581051,15,5.975424779492975,6.572967257442275,5.377882301543678
2015-08-01,2015,8,15,7581051,15,7.268121530906466,7.994933683997114,6.5413093778158204
2015-09-01,2015,9,15,7581051,15,6.3711482748236365,7.0082631023060005,5.734033447341272
2015-10-01,2015,10,15,7581051,15,5.513747368273871,6.065122105101258,4.962372631446484
2015-11-01,2015,11,15,7581051,15,6.648154721555098,7.312970193710609,5.983339249399589
2015-12-01,2015,12,15,7581051,15,8.94335099447293,9.837686093920224,8.049015895025637
2016-01-01,2016,1,15,7581051,15,20.063181213264492,22.069499334590944,18.056863091938045
2016-02-01,2016,2,15,7581051,15,30.37837365821705,33.41621102403875,27.34053629239535
2016-03-01,2016,3,15,7581051,15,24.679955325455538,27.147950858001092,22.211959792909983
2016-04-01,2016,4,15,7581051,15,22.490285317959213,24.73931384975514,20.24125678616329
2016-05-01,2016,5,15,7581051,15,13.164401611333309,14.480841772466642,11.84796145019998
2016-06-01,2016,6,15,7581051,15,6.305194358935192,6.935713794828713,5.674674923041673
2016-07-01,2016,7,15,7581051,15,5.3026948374308525,5.832964321173938,4.772425353687767
2016-08-01,2016,8,15,7581051,15,4.550820196302597,5.005902215932857,4.095738176672337
2016-09-01,2016,9,15,7581051,15,3.363649710310615,3.7000146813416768,3.027284739279554
2016-10-01,2016,10,15,7581051,15,3.7989455551743423,4.178840110691776,3.4190509996569074
2016-11-01,2016,11,15,7581051,15,3.9440441701289175,4.3384485871418095,3.549639753116026
2016-12-01,2016,12,15,7581051,15,6.33157592529057,6.964733517819627,5.698418332761513
2017-01-01,2017,1,15,7581051,15,26.790480633885725,29.469528697274303,24.11143257049715
2017-02-01,2017,2,15,7581051,15,24.94377098900931,27.43814808791024,22.44939389010838
2017-03-01,2017,3,15,7581051,15,20.353378443173643,22.38871628749101,18.31804059885628
2017-04-01,2017,4,15,7581051,15,7.386838579505665,8.125522437456231,6.648154721555098
2017-05-01,2017,5,15,7581051,15,5.566510500984626,6.123161551083088,5.009859450886164
2017-06-01,2017,6,15,7581051,15,3.2185510953560397,3.540406204891644,2.8966959858204357
2017-07-01,2017,7,15,7581051,15,2.796446033670002,3.0760906370370025,2.5168014303030017
2017-08-01,2017,8,15,7581051,15,2.9679262149799546,3.2647188364779502,2.6711335934819593
2017-09-01,2017,9,15,7581051,15,2.150097657963256,2.3651074237595817,1.9350878921669308
2017-10-01,2017,10,15,7581051,15,2.585393502826983,2.8439328531096812,2.3268541525442847
2017-11-01,2017,11,15,7581051,15,2.5985842860046713,2.8584427146051388,2.3387258574042047
2017-12-01,2017,12,15,7581051,15,2.7041105514261807,2.9745216065687994,2.4336994962835625
2018-01-01,2018,1,15,7581051,15,3.535129891620568,3.888642880782625,3.1816169024585115
2018-02-01,2018,2,15,7581051,15,5.883089297249155,6.47139822697407,5.29478036752424
2018-03-01,2018,3,15,7581051,15,10.117330697287223,11.129063767015946,9.105597627558502
2018-04-01,2018,4,15,7581051,15,8.376147317832316,9.213762049615548,7.538532586049085
2018-05-01,2018,5,15,7581051,15,5.988615562670664,6.587477118937731,5.3897540064035985
2018-06-01,2018,6,15,7581051,15,2.9811169981576433,3.2792286979734078,2.6830052983418793
2018-07-01,2018,7,15,7581051,15,1.767564945810284,1.9443214403913125,1.5908084512292557
2018-08-01,2018,8,15,7581051,15,3.11302482993453,3.424327312927984,2.801722346941077
2018-09-01,2018,9,15,7581051,15,1.6224663308557088,1.7847129639412795,1.4602196977701378
2018-10-01,2018,10,15,7581051,15,1.3586506673019347,1.4945157340321282,1.2227856005717412
2018-11-01,2018,11,15,7581051,15,2.41391332151703,2.655304653668733,2.172521989365327
2018-12-01,2018,12,15,7581051,15,3.1789787458229735,3.4968766204052715,2.8610808712406763
2019-01-01,2019,1,15,7581051,15,8.03318695521241,8.836505650733653,7.22986825969117
2019-02-01,2019,2,15,7581051,15,10.592198891684015,11.651418780852419,9.532979002515614
2019-03-01,2019,3,15,7581051,15,10.921968471126233,12.014165318238858,9.82977162401361
2019-04-01,2019,4,15,7581051,15,9.76117955148963,10.737297506638592,8.785061596340666
2019-05-01,2019,5,15,7581051,15,9.141212742138261,10.055334016352088,8.227091467924435
2019-06-01,2019,6,15,7581051,15,4.643155678546418,5.107471246401061,4.178840110691776
2019-07-01,2019,7,15,7581051,15,2.783255250492313,3.061580775541544,2.504929725443082
2019-08-01,2019,8,15,7581051,15,3.192169529000662,3.5113864819007294,2.8729525761005963
2019-09-01,2019,9,15,7581051,15,3.4691759757321248,3.8160935733053374,3.122258378158912
2019-10-01,2019,10,15,7581051,15,3.271314228066794,3.5984456508734737,2.944182805260115
2019-11-01,2019,11,15,7581051,15,3.759373205641276,4.135310526205403,3.383435885077148
2019-12-01,2019,12,15,7581051,15,2.532630370116228,2.7858934071278507,2.2793673331046054
2001-01-01,2001,1,16,669526,16,1.0455157828075385,1.1500673610882923,0.9409642045267846
2001-02-01,2001,2,16,669526,16,2.5391097582468793,2.7930207340715674,2.2851987824221913
2001-03-01,2001,3,16,669526,16,13.292986381410133,14.622285019551146,11.963687743269121
2001-04-01,2001,4,16,669526,16,24.494941197205186,26.944435316925706,22.045447077484667
2001-05-01,2001,5,16,669526,16,81.550231058988,89.70525416488681,73.3952079530892
2001-06-01,2001,6,16,669526,16,62.2828687758205,68.51115565340257,56.05458189823846
2001-07-01,2001,7,16,669526,16,68.8546822677536,75.74015049452896,61.969214040978244
2001-08-01,2001,8,16,669526,16,109.1817196046158,120.0998915650774,98.26354764415422
2001-09-01,2001,9,16,669526,16,65.12069732915525,71.63276706207078,58.608627596239735
2001-10-01,2001,10,16,669526,16,34.95009902528057,38.44510892780863,31.45508912275251
2001-11-01,2001,11,16,669526,16,12.695548791234396,13.965103670357838,11.425993912110956
2001-12-01,2001,12,16,669526,16,1.4935939754393406,1.6429533729832748,1.3442345778954066
2002-01-01,2002,1,16,669526,16,4.9288601189498245,5.421746130844807,4.435974107054842
2002-02-01,2002,2,16,669526,16,28.67700432843534,31.544704761278876,25.809303895591807
2002-03-01,2002,3,16,669526,16,23.15070661930978,25.465777281240758,20.835635957378802
2002-04-01,2002,4,16,669526,16,11.052595418251121,12.157854960076234,9.94733587642601
2002-05-01,2002,5,16,669526,16,4.9288601189498245,5.421746130844807,4.435974107054842
2002-06-01,2002,6,16,669526,16,5.376938311581626,5.914632142739789,4.839244480423464
2002-07-01,2002,7,16,669526,16,7.916048069828506,8.707652876811357,7.124443262845655
2002-08-01,2002,8,16,669526,16,16.728252524920617,18.401077777412677,15.055427272428554
2002-09-01,2002,9,16,669526,16,13.442345778954065,14.786580356849473,12.098111201058659
2002-10-01,2002,10,16,669526,16,4.630141323861956,5.093155456248152,4.16712719147576
2002-11-01,2002,11,16,669526,16,4.331422528774088,4.764564781651497,3.898280275896679
2002-12-01,2002,12,16,669526,16,2.8378285533347474,3.121611408668222,2.554045698001273
2003-01-01,2003,1,16,669526,16,8.662845057548177,9.529129563302995,7.796560551793358
2003-02-01,2003,2,16,669526,16,12.994267586322264,14.293694344954492,11.694840827690037
2003-03-01,2003,3,16,669526,16,16.728252524920617,18.401077777412677,15.055427272428554
2003-04-01,2003,4,16,669526,16,14.487861561761605,15.936647717937763,13.039075405585443
2003-05-01,2003,5,16,669526,16,28.97572312352321,31.873295435875526,26.078150811170886
2003-06-01,2003,6,16,669526,16,41.671271914757604,45.83839910623337,37.50414472328185
2003-07-01,2003,7,16,669526,16,96.4861708133814,106.13478789471954,86.83755373204326
2003-08-01,2003,8,16,669526,16,167.73060344183796,184.50366378602178,150.95754309765417
2003-09-01,2003,9,16,669526,16,134.27409839199672,147.7015082311964,120.84668855279706
2003-10-01,2003,10,16,669526,16,37.19048998843958,40.90953898728355,33.47144098959562
2003-11-01,2003,11,16,669526,16,22.70262842667798,24.972891269345777,20.432365584010185
2003-12-01,2003,12,16,669526,16,10.007079635443583,11.00778759898794,9.006371671899224
2004-01-01,2004,1,16,669526,16,31.066754689138286,34.17343015805211,27.960079220224458
